"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 03 02:24:24 GMT 2024","Tue Sep 03 02:24:24 GMT 2024","0","","BACKWARD-CHAINER","","BACKWARD-CHAINER","","BACKWARD-CHAINER-XP.34",""
"failed","Tue Sep 03 02:20:02 GMT 2024","Tue Sep 03 02:20:02 GMT 2024","0","","CHECK-TYPES-TEMP","","CHECK-TYPES-TEMP","","TYPE-PROP.60",""
"passed","Tue Sep 03 03:08:33 GMT 2024","Tue Sep 03 03:08:33 GMT 2024","0","","BASIC","","BASIC","","HYPERPOSING.10",""
"failed","Tue Sep 03 02:24:24 GMT 2024","Tue Sep 03 02:24:24 GMT 2024","0","","BACKWARD-CHAINER","","BACKWARD-CHAINER","","BACKWARD-CHAINER-XP.13",""
"passed","Tue Sep 03 02:47:30 GMT 2024","Tue Sep 03 02:47:30 GMT 2024","0","","CURRENT","","CURRENT","","TESTS0.02",""
"failed","Tue Sep 03 01:47:51 GMT 2024","Tue Sep 03 01:48:36 GMT 2024","45000","","WHOLE-TESTS","","WHOLE-TESTS","","comparisons.naive-fib",""
"failed","Tue Sep 03 02:20:02 GMT 2024","Tue Sep 03 02:20:02 GMT 2024","0","","CHECK-TYPES-TEMP","","CHECK-TYPES-TEMP","","B5-TYPES-PRELIM.08",""
"passed","Tue Sep 03 02:28:05 GMT 2024","Tue Sep 03 02:28:05 GMT 2024","0","","HOL","","HOL","","NATDTLTEST.03",""
"passed","Tue Sep 03 02:24:30 GMT 2024","Tue Sep 03 02:24:30 GMT 2024","0","","BACKWARD-CHAINING","","BACKWARD-CHAINING","","BC-XP.08",""
"passed","Tue Sep 03 01:54:06 GMT 2024","Tue Sep 03 01:54:06 GMT 2024","0","","MAIN-BRANCH","","MAIN-BRANCH","","TESTS2.06",""
"passed","Tue Sep 03 01:47:51 GMT 2024","Tue Sep 03 01:47:58 GMT 2024","7000","","WHOLE-TESTS","","WHOLE-TESTS","","metta-morph_tests.nalifier",""
"failed","Tue Sep 03 03:08:33 GMT 2024","Tue Sep 03 03:08:33 GMT 2024","0","","BASIC","","BASIC","","PATHFINDING-EASY.01",""
